GRB110819665	2011-08-19	15:57:54.97	16.384	6.149	3.04E-06	8.23E-08	3.83E+00	2.60E+00	2.60E+00	4.61E+01	1.05E+01	1.05E+01	1.25E+00	1.32E+00	1.32E+00	-2.11E+00	1.51E-01	1.51E-01	291.641	-18.72	6.51E-07	4.63E-08	2.66E-06	1.89E-07
GRB190731943	2019-07-31	22:38:20.37	15.872	0.362	8.86E-05	3.38E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	312.1228	-38.0602	-99.0	-99.0	-99.0	-99.0
GRB090810659	2009-08-10	15:49:07.82	125.182	1.846	9.37E-06	4.82E-08	4.22E-02	1.70E-02	1.70E-02	3.86E+01	3.20E+00	3.20E+00	-8.28E-01	2.17E-01	2.17E-01	-2.36E+00	1.01E-01	1.01E-01	297.276	-14.5907	2.10E-07	8.86E-09	7.93E-06	3.34E-07
GRB180906597	2018-09-06	14:19:51.78	52.03	2.127	3.72E-06	3.14E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	277.6314	-24.0775	-99.0	-99.0	-99.0	-99.0
GRB110911071	2011-09-11	01:41:41.57	8.96	4.352	5.94E-07	8.35E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	324.705	-16.0554	-99.0	-99.0	-99.0	-99.0
GRB200908886	2020-09-08	21:15:41.43	6.144	2.187	1.23E-06	1.09E-07	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	293.9741	-5.7353	-99.0	-99.0	-99.0	-99.0
GRB180622273	2018-06-22	06:32:42.50	13.568	2.611	2.03E-06	6.19E-08	1.92E-02	5.84E-03	5.84E-03	7.14E+01	6.62E+00	6.62E+00	-8.05E-01	1.97E-01	1.97E-01	-4.81E+00	1.30E+01	1.30E+01	305.0298	-13.6702	1.39E-07	2.14E-08	1.84E-06	2.84E-07
GRB160406570	2016-04-06	13:40:29.31	66.56	16.836	4.66E-06	4.81E-08	4.10E-03	9.70E-04	9.70E-04	1.85E+02	6.60E+01	6.60E+01	-1.44E+00	1.55E-01	1.55E-01	-9.66E+00	7.50E+04	7.50E+04	306.6807	-13.9551	1.69E-07	2.12E-08	2.76E-06	3.46E-07
GRB130804023	2013-08-04	00:33:15.53	0.96	0.091	1.66E-06	1.59E-08	4.80E-02	3.32E-03	3.32E-03	5.02E+02	8.59E+01	8.59E+01	-7.29E-01	6.82E-02	6.82E-02	-2.95E+00	1.14E+02	1.14E+02	318.3067	-25.6079	3.45E-06	1.86E-07	1.69E-06	9.12E-08
GRB161020759	2016-10-20	18:13:12.94	24.32	1.557	2.92E-05	5.47E-08	2.47E-02	1.29E-03	1.29E-03	1.63E+02	7.95E+00	7.95E+00	-9.55E-01	3.18E-02	3.18E-02	-2.26E+00	9.73E-02	9.73E-02	288.9029	-35.0153	6.98E-07	1.25E-08	3.13E-05	5.62E-07
GRB120114433	2012-01-14	10:23:39.22	2.752	1.569	1.49E-07	2.64E-08	7.63E-03	2.99E-03	2.99E-03	2.67E+02	1.38E+02	1.38E+02	2.08E-01	6.83E-01	6.83E-01	-7.26E+00	8.10E+02	8.10E+02	317.4796	-21.5668	2.05E-07	7.05E-08	2.09E-07	7.19E-08
GRB170121067	2017-01-21	01:36:53.64	2.304	0.286	1.73E-06	3.21E-08	6.01E-03	3.43E-04	3.43E-04	1.51E+03	2.52E+02	2.52E+02	-7.29E-01	7.59E-02	7.59E-02	-2.79E+00	4.06E+01	4.06E+01	306.1652	-41.2605	9.01E-07	4.22E-08	3.68E-06	1.72E-07
GRB170124874	2017-01-24	20:58:06.36	22.784	0.572	8.97E-06	2.34E-08	2.43E-02	2.07E-03	2.07E-03	1.17E+02	4.40E+00	4.40E+00	-7.40E-01	5.42E-02	5.42E-02	-4.16E+00	1.60E+03	1.60E+03	319.0934	-25.9951	3.10E-07	1.53E-08	9.17E-06	4.53E-07
GRB190806675	2019-08-06	16:12:33.32	20.992	2.374	1.35E-05	3.55E-07	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	287.9562	-21.7563	-99.0	-99.0	-99.0	-99.0
GRB210721978	2021-07-21	23:28:32.68	9.984	2.721	9.34E-07	6.14E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	296.7176	-40.9976	-99.0	-99.0	-99.0	-99.0
GRB180614327	2018-06-14	07:51:04.12	9.216	2.573	4.13E-07	2.35E-08	2.75E-03	6.80E-04	6.80E-04	5.08E+02	4.13E+02	4.13E+02	-1.13E+00	1.63E-01	1.63E-01	-2.19E+00	1.29E+00	1.29E+00	291.0292	-38.0915	1.85E-07	3.28E-08	2.08E-06	3.68E-07
GRB200629535	2020-06-29	12:49:49.29	28.16	1.056	9.69E-06	5.73E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	322.5522	-45.9474	-99.0	-99.0	-99.0	-99.0
GRB141022087	2014-10-22	02:04:40.21	9.216	0.572	9.00E-05	9.54E-08	1.32E-01	2.08E-03	2.08E-03	4.71E+02	1.17E+01	1.17E+01	-8.04E-01	1.99E-02	1.99E-02	-2.83E+00	1.08E-01	1.08E-01	287.5767	-22.085	8.81E-06	7.23E-08	9.53E-05	7.82E-07
GRB100112418	2010-01-12	10:01:17.56	23.04	0.572	1.05E-06	1.10E-08	2.08E-03	4.33E-04	4.33E-04	1.12E+03	2.26E+03	2.26E+03	-1.48E+00	1.50E-01	1.50E-01	-7.15E+00	9.18E+03	9.18E+03	314.2999	-16.5828	1.63E-07	2.66E-08	1.00E-06	1.63E-07
GRB210411564	2021-04-11	13:32:44.63	47.873	6.607	3.75E-06	5.62E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	286.8668	-22.8593	-99.0	-99.0	-99.0	-99.0
GRB190304818	2019-03-04	19:37:23.34	2.88	0.547	2.98E-06	3.88E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	308.171	-41.6673	-99.0	-99.0	-99.0	-99.0
GRB181022846	2018-10-22	20:18:30.51	13.824	4.579	7.65E-07	3.30E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	312.5142	-4.1745	-99.0	-99.0	-99.0	-99.0
GRB121116459	2012-11-16	11:00:24.60	0.832	0.59	4.92E-07	1.38E-08	3.71E-02	1.17E-02	1.17E-02	3.75E+02	6.48E+01	6.48E+01	9.09E-01	6.72E-01	6.72E-01	-9.82E+00	2.64E+03	2.64E+03	299.7379	-12.2162	2.25E-06	3.46E-07	5.73E-07	8.80E-08
GRB190327111	2019-03-27	02:39:10.97	36.864	1.448	6.33E-06	1.29E-07	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	286.2972	-32.3216	-99.0	-99.0	-99.0	-99.0
